GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
APMAP,ENSG00000101474,24962924.0,24992784.0,20,(-),adipocyte plasma membrane associated protein,X,,18,0,,,,,
SMCHD1,ENSG00000101596,2655656.0,2805398.0,18,(+),structural maintenance of chromosomes flexible hinge domain containing 1,X,,18,0,,,,,
ATM,ENSG00000149311,108222788.0,108369102.0,11,(+),ATM serine/threonine kinase,X,,18,0,,,,,
GIMAP5,ENSG00000196329,150722253.0,150750033.0,7,(+),"GTPase, IMAP family member 5",X,,18,0,,,,,
MYCBP,ENSG00000214114,38862356.0,38873388.0,1,(-),MYC binding protein,X,,18,0,,,,,
MYCBP2,ENSG00000005810,77042474.0,77327105.0,13,(-),MYC binding protein 2,X,,18,0,,,,,
HLA-DMB,ENSG00000242574,32929338.0,32941490.0,6,(-),"major histocompatibility complex, class II, DM beta",X,,18,0,,,,,
ATP5IF1,ENSG00000130770,28236072.0,28246908.0,1,(+),ATP synthase inhibitory factor subunit 1,X,,18,0,,,,,
CTSW,ENSG00000172543,65879809.0,65883741.0,11,(+),cathepsin W,X,,18,0,,,,,
NINJ2,ENSG00000171840,562852.0,663753.0,12,(-),ninjurin 2,X,,18,0,,,,,
GZMH,ENSG00000100450,24606480.0,24609821.0,14,(-),granzyme H,X,,18,0,,,,,
LTB,ENSG00000227507,31580525.0,31582522.0,6,(-),lymphotoxin beta,X,,18,0,,,,,
CAPG,ENSG00000042493,85388144.0,85422017.0,2,(-),"capping actin protein, gelsolin like",X,,18,0,,,,,
EVL,ENSG00000196405,99971444.0,100144236.0,14,(+),Enah/Vasp-like,X,,18,0,,,,,
POLD3,ENSG00000077514,74493851.0,74669117.0,11,(+),"DNA polymerase delta 3, accessory subunit",X,,18,0,,,,,
POC1A,ENSG00000164087,52074590.0,52154746.0,3,(-),POC1 centriolar protein A,X,,18,0,,,,,
DYNLT2B,ENSG00000213123,196291219.0,196318328.0,3,(-),dynein light chain Tctex-type 2B,X,,18,0,,,,,
PRIM2,ENSG00000146143,57221513.0,57647924.0,6,(+),DNA primase subunit 2,X,,18,0,,,,,
SAMD1,ENSG00000141858,14086762.0,14091036.0,19,(-),sterile alpha motif domain containing 1,X,,18,0,,,,,
HNRNPLL,ENSG00000143889,38561891.0,38603586.0,2,(-),heterogeneous nuclear ribonucleoprotein L like,X,,18,0,,,,,
CORO1B,ENSG00000172725,67435510.0,67443828.0,11,(-),coronin 1B,X,,18,0,,,,,
DTHD1,ENSG00000197057,36281616.0,36347511.0,4,(+),death domain containing 1,X,,18,0,,,,,
SYPL1,ENSG00000008282,106086672.0,106112618.0,7,(-),synaptophysin like 1,X,,18,0,,,,,
CITED4,ENSG00000179862,40861054.0,40862363.0,1,(-),Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4,X,,18,0,,,,,
BEX4,ENSG00000102409,103215068.0,103217931.0,X,(+),brain expressed X-linked 4,X,,18,0,,,,,
FXYD7,ENSG00000221946,35143148.0,35154303.0,19,(+),FXYD domain containing ion transport regulator 7,X,,18,0,,,,,
ITGA6,ENSG00000091409,172234216.0,172506565.0,2,(+),integrin subunit alpha 6,X,,18,0,,,,,
CIRBP,ENSG00000099622,1259384.0,1274880.0,19,(+),cold inducible RNA binding protein,X,,18,0,,,,,
ACAA2,ENSG00000167315,49781714.0,49813965.0,18,(-),acetyl-CoA acyltransferase 2,X,,18,0,,,,,
TYROBP,ENSG00000011600,35904398.0,35908318.0,19,(-),transmembrane immune signaling adaptor TYROBP,X,,18,0,,,,,
PSME1,ENSG00000092010,24136142.0,24138967.0,14,(+),proteasome activator subunit 1,X,,18,0,,,,,
TUBA4A,ENSG00000127824,219249710.0,219277902.0,2,(-),tubulin alpha 4a,X,,18,0,,,,,
RSL1D1,ENSG00000171490,11833850.0,11851586.0,16,(-),ribosomal L1 domain containing 1,X,,18,0,,,,,
EIF3F,ENSG00000175390,7970251.0,8001862.0,11,(+),eukaryotic translation initiation factor 3 subunit F,X,,18,0,,,,,
R3HDM4,ENSG00000198858,896503.0,913245.0,19,(-),R3H domain containing 4,X,,18,0,,,,,
RCAN3,ENSG00000117602,24502320.0,24541040.0,1,(+),RCAN family member 3,X,,18,0,,,,,
ANP32B,ENSG00000136938,97983126.0,98017079.0,9,(+),acidic nuclear phosphoprotein 32 family member B,X,,18,0,,,,,
ALKBH7,ENSG00000125652,6372715.0,6377261.0,19,(+),alkB homolog 7,X,,18,0,,,,,
PLAC8,ENSG00000145287,83059493.0,83137075.0,4,(-),placenta associated 8,X,,18,0,,,,,
BUB3,ENSG00000154473,123154365.0,123313144.0,10,(+),BUB3 mitotic checkpoint protein,X,,18,0,,,,,
BHLHE40,ENSG00000134107,4978715.0,4985323.0,3,(+),basic helix-loop-helix family member e40,X,,18,0,,,,,
PPP1R14B,ENSG00000173457,64244478.0,64246956.0,11,(-),protein phosphatase 1 regulatory inhibitor subunit 14B,X,,18,0,,,,,
TMEM273,ENSG00000204161,49153753.0,49188585.0,10,(-),transmembrane protein 273,X,,18,0,,,,,
PRR5,ENSG00000186654,44668547.0,44737681.0,22,(+),proline rich 5,X,,18,0,,,,,
PCNX1,ENSG00000100731,70907368.0,71115382.0,14,(+),pecanex 1,X,,18,0,,,,,
DEK,ENSG00000124795,18223860.0,18265997.0,6,(-),DEK proto-oncogene,X,,18,0,,,,,
PAG1,ENSG00000076641,80967810.0,81112121.0,8,(-),phosphoprotein membrane anchor with glycosphingolipid microdomains 1,X,,18,0,,,,,
MGAT5,ENSG00000152127,134119892.0,134454621.0,2,(+),"alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase",X,,18,0,,,,,
RABAC1,ENSG00000105404,41956681.0,41959390.0,19,(-),Rab acceptor 1,X,,18,0,,,,,
SLC2A4RG,ENSG00000125520,63739758.0,63744603.0,20,(+),SLC2A4 regulator,X,,18,0,,,,,
INPP4B,ENSG00000109452,142023160.0,142847432.0,4,(-),inositol polyphosphate-4-phosphatase type II B,X,,18,0,,,,,
CMTM6,ENSG00000091317,32474175.0,32502858.0,3,(-),CKLF like MARVEL transmembrane domain containing 6,X,,18,0,,,,,
ODF2L,ENSG00000122417,86346824.0,86396343.0,1,(-),outer dense fiber of sperm tails 2 like,X,,18,0,,,,,
YWHAQ,ENSG00000134308,9583334.0,9639472.0,2,(-),tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta,X,,18,0,,,,,
TOB1,ENSG00000141232,50861311.0,50867978.0,17,(-),"transducer of ERBB2, 1",X,,18,0,,,,,
GTF3A,ENSG00000122034,27424584.0,27435823.0,13,(+),general transcription factor IIIA,X,,18,0,,,,,
TMEM14C,ENSG00000111843,10722915.0,10731141.0,6,(+),transmembrane protein 14C,X,,18,0,,,,,
F2R,ENSG00000181104,76715820.0,76735770.0,5,(+),coagulation factor II thrombin receptor,X,,18,0,,,,,
RNH1,ENSG00000023191,494510.0,507395.0,11,(-),ribonuclease/angiogenin inhibitor 1,X,,18,0,,,,,
TESC,ENSG00000088992,117038923.0,117099479.0,12,(-),tescalcin,X,,18,0,,,,,
PARP2,ENSG00000129484,20343541.0,20362074.0,14,(+),poly(ADP-ribose) polymerase 2,X,,18,0,,,,,
CHAMP1,ENSG00000198824,114314482.0,114337626.0,13,(+),chromosome alignment maintaining phosphoprotein 1,X,,18,0,,,,,
MAPRE1,ENSG00000101367,32819769.0,32856294.0,20,(+),microtubule associated protein RP/EB family member 1,X,,18,0,,,,,
ATAD3A,ENSG00000197785,1512118.0,1534689.0,1,(+),ATPase family AAA domain containing 3A,X,,18,0,,,,,
STOML2,ENSG00000165283,35099469.0,35103195.0,9,(-),stomatin like 2,X,,18,0,,,,,
NSL1,ENSG00000117697,212726153.0,212791799.0,1,(-),NSL1 component of MIS12 kinetochore complex,X,,18,0,,,,,
EXOC6,ENSG00000138190,92826831.0,93059493.0,10,(+),exocyst complex component 6,X,,18,0,,,,,
ZMYND19,ENSG00000165724,137582066.0,137590520.0,9,(-),zinc finger MYND-type containing 19,X,,18,0,,,,,
USP14,ENSG00000101557,158328.0,214629.0,18,(+),ubiquitin specific peptidase 14,X,,18,0,,,,,
CASP3,ENSG00000164305,184627695.0,184650418.0,4,(-),caspase 3,X,,18,0,,,,,
AARS1,ENSG00000090861,70251983.0,70289707.0,16,(-),alanyl-tRNA synthetase 1,X,,18,0,,,,,
CTNNBIP1,ENSG00000178585,9848269.0,9910378.0,1,(-),catenin beta interacting protein 1,X,,18,0,,,,,
ASH2L,ENSG00000129691,38105493.0,38144124.0,8,(+),"ASH2 like, histone lysine methyltransferase complex subunit",X,,18,0,,,,,
VANGL1,ENSG00000173218,115641854.0,115698224.0,1,(+),VANGL planar cell polarity protein 1,X,,18,0,,,,,
CYB561A3,ENSG00000162144,61348453.0,61362343.0,11,(-),cytochrome b561 family member A3,X,,18,0,,,,,
NUP155,ENSG00000113569,37288042.0,37371187.0,5,(-),nucleoporin 155,X,,18,0,,,,,
COMMD5,ENSG00000170619,144837760.0,144854229.0,8,(-),COMM domain containing 5,X,,18,0,,,,,
POLR2D,ENSG00000144231,127843553.0,127858163.0,2,(-),RNA polymerase II subunit D,X,,18,0,,,,,
CPSF3,ENSG00000119203,9423623.0,9473117.0,2,(+),cleavage and polyadenylation specific factor 3,X,,18,0,,,,,
PARVB,ENSG00000188677,43999211.0,44172939.0,22,(+),parvin beta,X,,18,0,,,,,
CDK19,ENSG00000155111,110609978.0,110815958.0,6,(-),cyclin dependent kinase 19,X,,18,0,,,,,
POLH,ENSG00000170734,43575537.0,43628361.0,6,(+),DNA polymerase eta,X,,18,0,,,,,
PPIL3,ENSG00000240344,200870907.0,200889358.0,2,(-),peptidylprolyl isomerase like 3,X,,18,0,,,,,
G2E3,ENSG00000092140,30559104.0,30620167.0,14,(+),G2/M-phase specific E3 ubiquitin protein ligase,X,,18,0,,,,,
ELP6,ENSG00000163832,47490710.0,47513738.0,3,(-),elongator acetyltransferase complex subunit 6,X,,18,0,,,,,
MRPL10,ENSG00000159111,47823272.0,47831545.0,17,(-),mitochondrial ribosomal protein L10,X,,18,0,,,,,
CDC42SE2,ENSG00000158985,131245493.0,131398447.0,5,(+),CDC42 small effector 2,X,,18,0,,,,,
CD8B2,ENSG00000254126,106487350.0,106544297.0,2,(+),CD8B family member 2,X,,18,0,,,,,
PEBP1,ENSG00000089220,118136066.0,118150564.0,12,(+),phosphatidylethanolamine binding protein 1,X,,18,0,,,,,
APOBEC3G,ENSG00000239713,39077054.0,39087744.0,22,(+),apolipoprotein B mRNA editing enzyme catalytic subunit 3G,X,,18,0,,,,,
PTMS,ENSG00000159335,6765516.0,6770952.0,12,(+),parathymosin,X,,18,0,,,,,
PIK3IP1,ENSG00000100100,31281594.0,31292544.0,22,(-),phosphoinositide-3-kinase interacting protein 1,X,,18,0,,,,,
CDK2AP2,ENSG00000167797,67506490.0,67508701.0,11,(-),cyclin dependent kinase 2 associated protein 2,X,,18,0,,,,,
SCAMP2,ENSG00000140497,74843728.0,74873374.0,15,(-),secretory carrier membrane protein 2,X,,18,0,,,,,
DYNLL1,ENSG00000088986,120468451.0,120498913.0,12,(+),dynein light chain LC8-type 1,X,,18,0,,,,,
NDUFA13,ENSG00000186010,19515728.0,19529054.0,19,(+),NADH:ubiquinone oxidoreductase subunit A13,X,,18,0,,,,,
PTTG1IP,ENSG00000183255,44849585.0,44873903.0,21,(-),PTTG1 interacting protein,X,,18,0,,,,,
ERGIC1,ENSG00000113719,172834251.0,172952792.0,5,(+),endoplasmic reticulum-golgi intermediate compartment 1,X,,18,0,,,,,
LTBP3,ENSG00000168056,65538556.0,65558930.0,11,(-),latent transforming growth factor beta binding protein 3,X,,18,0,,,,,
SNTA1,ENSG00000101400,33407955.0,33443897.0,20,(-),syntrophin alpha 1,X,,18,0,,,,,
RGS2,ENSG00000116741,192809038.0,192812283.0,1,(+),regulator of G protein signaling 2,X,,18,0,,,,,
DUSP16,ENSG00000111266,12473282.0,12563147.0,12,(-),dual specificity phosphatase 16,X,,18,0,,,,,
MAPKAPK2,ENSG00000162889,206684871.0,206734284.0,1,(+),MAPK activated protein kinase 2,X,,18,0,,,,,
TIFA,ENSG00000145365,112272966.0,112302436.0,4,(-),TRAF interacting protein with forkhead associated domain,X,,18,0,,,,,
IGFLR1,ENSG00000126246,35738798.0,35742459.0,19,(-),IGF like family receptor 1,X,,18,0,,,,,
TAGLN2,ENSG00000158710,159918106.0,159925546.0,1,(-),transgelin 2,X,,18,0,,,,,
TAGLN,ENSG00000149591,117197509.0,117207464.0,11,(+),transgelin,X,,18,0,,,,,
LCP2,ENSG00000043462,170246233.0,170297845.0,5,(-),lymphocyte cytosolic protein 2,X,,18,0,,,,,
BMAL1,ENSG00000133794,13276647.0,13388048.0,11,(+),basic helix-loop-helix ARNT like 1,X,,18,0,,,,,
CHD7,ENSG00000171316,60678715.0,60868031.0,8,(+),chromodomain helicase DNA binding protein 7,X,,18,0,,,,,
G3BP2,ENSG00000138757,75641849.0,75726301.0,4,(-),G3BP stress granule assembly factor 2,X,,18,0,,,,,
CELF2,ENSG00000048740,10798397.0,11336675.0,10,(+),CUGBP Elav-like family member 2,X,,18,0,,,,,
SEPTIN11,ENSG00000138758,76949700.0,77040942.0,4,(+),septin 11,X,,18,0,,,,,
ARF6,ENSG00000165527,49892608.0,49897202.0,14,(+),ARF GTPase 6,X,,18,0,,,,,
LMO4,ENSG00000143013,87328428.0,87348923.0,1,(+),LIM domain only 4,X,,18,0,,,,,
ZNRF1,ENSG00000186187,74999007.0,75110994.0,16,(+),zinc and ring finger 1,X,,18,0,,,,,
ACTB,ENSG00000075624,5526409.0,5563902.0,7,(-),actin beta,X,,18,0,,,,,
FANCD2,ENSG00000144554,10026370.0,10101937.0,3,(+),FA complementation group D2,X,,18,0,,,,,
SMARCD2,ENSG00000108604,63832078.0,63843065.0,17,(-),SWI/SNF related BAF chromatin remodeling complex subunit D2,X,,18,0,,,,,
NUDCD2,ENSG00000170584,163446526.0,163460404.0,5,(-),NudC domain containing 2,X,,18,0,,,,,
HLA-DQA2,ENSG00000237541,32741391.0,32747198.0,6,(+),"major histocompatibility complex, class II, DQ alpha 2",X,,18,0,,,,,
ITGB1,ENSG00000150093,32750310.0,33005792.0,10,(-),integrin subunit beta 1,X,,18,0,,,,,
MRPL12,ENSG00000262814,81703357.0,81711112.0,17,(+),mitochondrial ribosomal protein L12,X,,18,0,,,,,
H4C5,ENSG00000276966,26204610.0,26205021.0,6,(+),H4 clustered histone 5,X,,18,0,,,,,
WEE1,ENSG00000166483,9573540.0,9593457.0,11,(+),WEE1 G2 checkpoint kinase,X,,18,0,,,,,
SMARCB1,ENSG00000099956,23786931.0,23838009.0,22,(+),SWI/SNF related BAF chromatin remodeling complex subunit B1,X,,18,0,,,,,
RUSC1,ENSG00000160753,155320739.0,155331422.0,1,(+),RUN and SH3 domain containing 1,X,,18,0,,,,,
RAD54L,ENSG00000085999,46246461.0,46282459.0,1,(+),RAD54 like,X,,18,0,,,,,
CTDSPL2,ENSG00000137770,44427187.0,44529038.0,15,(+),CTD small phosphatase like 2,X,,18,0,,,,,
TMEM18,ENSG00000151353,663877.0,677470.0,2,(-),transmembrane protein 18,X,,18,0,,,,,
AKIP1,ENSG00000166452,8911108.0,8922406.0,11,(+),A-kinase interacting protein 1,X,,18,0,,,,,
NUTF2,ENSG00000102898,67844369.0,67872569.0,16,(+),nuclear transport factor 2,X,,18,0,,,,,
CTSZ,ENSG00000101160,58985686.0,59008238.0,20,(-),cathepsin Z,X,,18,0,,,,,
PHPT1,ENSG00000054148,136847994.0,136851043.0,9,(+),phosphohistidine phosphatase 1,X,,18,0,,,,,
EMC9,ENSG00000100908,24138958.0,24142023.0,14,(-),ER membrane protein complex subunit 9,X,,18,0,,,,,
HEBP1,ENSG00000013583,12974867.0,13000310.0,12,(-),heme binding protein 1,X,,18,0,,,,,
FANCB,ENSG00000181544,14690388.0,14873255.0,X,(-),FA complementation group B,X,,18,0,,,,,
PGRMC1,ENSG00000101856,119236226.0,119244468.0,X,(+),progesterone receptor membrane component 1,X,,18,0,,,,,
CCP110,ENSG00000103540,19523808.0,19553408.0,16,(+),centriolar coiled-coil protein 110,X,,18,0,,,,,
CISD1,ENSG00000122873,58269113.0,58291167.0,10,(+),CDGSH iron sulfur domain 1,X,,18,0,,,,,
SKP2,ENSG00000145604,36151989.0,36196849.0,5,(+),S-phase kinase associated protein 2,X,,18,0,,,,,
TRAIP,ENSG00000183763,49828595.0,49856597.0,3,(-),TRAF interacting protein,X,,18,0,,,,,
ATP23,ENSG00000166896,57906039.0,57959148.0,12,(+),ATP23 metallopeptidase and ATP synthase assembly factor homolog,X,,18,0,,,,,
PASK,ENSG00000115687,241106094.0,241150852.0,2,(-),PAS domain containing serine/threonine kinase,X,,18,0,,,,,
LDHB,ENSG00000111716,21635339.0,21757890.0,12,(-),lactate dehydrogenase B,X,,18,0,,,,,
FLT3LG,ENSG00000090554,49474150.0,49486233.0,19,(+),fms related receptor tyrosine kinase 3 ligand,X,,18,0,,,,,
MRPL39,ENSG00000154719,25572145.0,25607588.0,21,(-),mitochondrial ribosomal protein L39,X,,18,0,,,,,
RPL39L,ENSG00000163923,187120927.0,187180972.0,3,(-),ribosomal protein L39 like,X,,18,0,,,,,
MRPS16,ENSG00000182180,73248760.0,73252693.0,10,(-),mitochondrial ribosomal protein S16,X,,18,0,,,,,
MRPL11,ENSG00000174547,66435075.0,66466738.0,11,(-),mitochondrial ribosomal protein L11,X,,18,0,,,,,
MRPL37,ENSG00000116221,54184041.0,54225489.0,1,(+),mitochondrial ribosomal protein L37,X,,18,0,,,,,
RPS6KA3,ENSG00000177189,20149911.0,20267519.0,X,(-),ribosomal protein S6 kinase A3,X,,18,0,,,,,
SESN3,ENSG00000149212,95165513.0,95232541.0,11,(-),sestrin 3,X,,18,0,,,,,
MAL,ENSG00000172005,95025677.0,95054942.0,2,(+),"mal, T cell differentiation protein (MAL blood group)",X,,18,0,,,,,
PRPSAP1,ENSG00000161542,76309478.0,76384521.0,17,(-),phosphoribosyl pyrophosphate synthetase associated protein 1,X,,18,0,,,,,
TRADD,ENSG00000102871,67153969.0,67163760.0,16,(-),TNFRSF1A associated via death domain,X,,18,0,,,,,
AQP3,ENSG00000165272,33441156.0,33447596.0,9,(-),aquaporin 3 (Gill blood group),X,,18,0,,,,,
EIF3E,ENSG00000104408,108162787.0,108443496.0,8,(-),eukaryotic translation initiation factor 3 subunit E,X,,18,0,,,,,
NPM1,ENSG00000181163,171387086.0,171411952.0,5,(+),nucleophosmin 1,X,,18,0,,,,,
PIM3,ENSG00000198355,49956491.0,49991795.0,22,(+),"Pim-3 proto-oncogene, serine/threonine kinase",X,,18,0,,,,,
CD5,ENSG00000110448,61102466.0,61127952.0,11,(+),CD5 molecule,X,,18,0,,,,,
CD53,ENSG00000143119,110871170.0,110899936.0,1,(+),CD53 molecule,X,,18,0,,,,,
CD59,ENSG00000085063,33703010.0,33737293.0,11,(-),CD59 molecule (CD59 blood group),X,,18,0,,,,,
GSTK1,ENSG00000197448,143244093.0,143272483.0,7,(+),glutathione S-transferase kappa 1,X,,18,0,,,,,
RASGRP2,ENSG00000068831,64726905.0,64745456.0,11,(-),RAS guanyl releasing protein 2,X,,18,0,,,,,
SH3BP5,ENSG00000131370,15254254.0,15341368.0,3,(-),SH3 domain binding protein 5,X,,18,0,,,,,
MRPL17,ENSG00000158042,6680364.0,6683411.0,11,(-),mitochondrial ribosomal protein L17,X,,18,0,,,,,
NPDC1,ENSG00000107281,137037577.0,137046700.0,9,(-),"neural proliferation, differentiation and control 1",X,,18,0,,,,,
DGKA,ENSG00000065357,55927319.0,55954027.0,12,(+),diacylglycerol kinase alpha,X,,18,0,,,,,
RNASET2,ENSG00000026297,166922113.0,166957448.0,6,(-),ribonuclease T2,X,,18,0,,,,,
SERP1,ENSG00000120742,150518545.0,150603228.0,3,(-),stress associated endoplasmic reticulum protein 1,X,,18,0,,,,,
SORL1,ENSG00000137642,121451581.0,121633763.0,11,(+),sortilin related receptor 1,X,,18,0,,,,,
LATS2,ENSG00000150457,20973029.0,21061605.0,13,(-),large tumor suppressor kinase 2,X,,18,0,,,,,
LAT,ENSG00000213658,28984808.0,28990784.0,16,(+),linker for activation of T cells,X,,18,0,,,,,
FTL,ENSG00000087086,48965275.0,48967896.0,19,(+),ferritin light chain,X,,18,0,,,,,
PRMT2,ENSG00000160310,46635197.0,46666229.0,21,(+),protein arginine methyltransferase 2,X,,18,0,,,,,
BEX2,ENSG00000133134,103309345.0,103311298.0,X,(-),brain expressed X-linked 2,X,,18,0,,,,,
SAMHD1,ENSG00000101347,36890216.0,36951893.0,20,(-),SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,X,,18,0,,,,,
RGS10,ENSG00000148908,119499603.0,119543620.0,10,(-),regulator of G protein signaling 10,X,,18,0,,,,,
S1PR4,ENSG00000125910,3172346.0,3180332.0,19,(+),sphingosine-1-phosphate receptor 4,X,,18,0,,,,,
ARID5A,ENSG00000196843,96536699.0,96552639.0,2,(+),AT-rich interaction domain 5A,X,,18,0,,,,,
EIF5A,ENSG00000132507,7306944.0,7312506.0,17,(+),eukaryotic translation initiation factor 5A,X,,18,0,,,,,
NSD3,ENSG00000147548,38269704.0,38383021.0,8,(-),nuclear receptor binding SET domain protein 3,X,,18,0,,,,,
EIF3L,ENSG00000100129,37848868.0,37889407.0,22,(+),eukaryotic translation initiation factor 3 subunit L,X,,18,0,,,,,
BTF3,ENSG00000145741,73498408.0,73507479.0,5,(+),basic transcription factor 3,X,,18,0,,,,,
EMP3,ENSG00000142227,48321310.0,48330560.0,19,(+),epithelial membrane protein 3 (MAM blood group),X,,18,0,,,,,
HMGA1,ENSG00000137309,34235618.0,34246236.0,6,(+),high mobility group AT-hook 1,X,,18,0,,,,,
SRP14,ENSG00000140319,40032985.0,40039186.0,15,(-),signal recognition particle 14,X,,18,0,,,,,
LSR,ENSG00000105699,35248330.0,35267967.0,19,(+),lipolysis stimulated lipoprotein receptor,X,,18,0,,,,,
EMB,ENSG00000170571,50382390.0,50443248.0,5,(-),embigin,X,,18,0,,,,,
MYL12A,ENSG00000101608,3247481.0,3256730.0,18,(+),myosin light chain 12A,X,,18,0,,,,,
ZEB2,ENSG00000169554,144364364.0,144521057.0,2,(-),zinc finger E-box binding homeobox 2,X,,18,0,,,,,
B2M,ENSG00000166710,44711253.0,44718851.0,15,(+),beta-2-microglobulin,X,,18,0,,,,,
SYTL3,ENSG00000164674,158644387.0,158768361.0,6,(+),synaptotagmin like 3,X,,18,0,,,,,
CBLB,ENSG00000114423,105655461.0,105869552.0,3,(-),Cbl proto-oncogene B,X,,18,0,,,,,
BLOC1S1,ENSG00000135441,55715911.0,55720087.0,12,(+),biogenesis of lysosomal organelles complex 1 subunit 1,X,,18,0,,,,,
APOBEC3H,ENSG00000100298,39096257.0,39104071.0,22,(+),apolipoprotein B mRNA editing enzyme catalytic subunit 3H,X,,18,0,,,,,
RASAL3,ENSG00000105122,15451624.0,15464583.0,19,(-),RAS protein activator like 3,X,,18,0,,,,,
TLN1,ENSG00000137076,35696925.0,35732212.0,9,(-),talin 1,X,,18,0,,,,,
IKZF2,ENSG00000030419,212999691.0,213152427.0,2,(-),IKAROS family zinc finger 2,X,,18,0,,,,,
ARPC2,ENSG00000163466,218216630.0,218254356.0,2,(+),actin related protein 2/3 complex subunit 2,X,,18,0,,,,,
GYG1,ENSG00000163754,148991332.0,149031775.0,3,(+),glycogenin 1,X,,18,0,,,,,
HNRNPA3,ENSG00000170144,177212587.0,177226106.0,2,(+),heterogeneous nuclear ribonucleoprotein A3,X,,18,0,,,,,
UBB,ENSG00000170315,16378898.0,16382745.0,17,(+),ubiquitin B,X,,18,0,,,,,
CAP1,ENSG00000131236,40039735.0,40072767.0,1,(+),cyclase associated actin cytoskeleton regulatory protein 1,X,,18,0,,,,,
ACAP1,ENSG00000072818,7332960.0,7351478.0,17,(+),"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",X,,18,0,,,,,
PYHIN1,ENSG00000163564,158930779.0,158977059.0,1,(+),pyrin and HIN domain family member 1,X,,18,0,,,,,
S100A10,ENSG00000197747,151981697.0,151993891.0,1,(-),S100 calcium binding protein A10,X,,18,0,,,,,
SYTL2,ENSG00000137501,85694224.0,85811182.0,11,(-),synaptotagmin like 2,X,,18,0,,,,,
ARHGAP9,ENSG00000123329,57472260.0,57488831.0,12,(-),Rho GTPase activating protein 9,X,,18,0,,,,,
APOBEC3C,ENSG00000244509,39014163.0,39020352.0,22,(+),apolipoprotein B mRNA editing enzyme catalytic subunit 3C,X,,18,0,,,,,
IQGAP1,ENSG00000140575,90388207.0,90502239.0,15,(+),IQ motif containing GTPase activating protein 1,X,,18,0,,,,,
DENND4A,ENSG00000174485,65658046.0,65792307.0,15,(-),DENN domain containing 4A,X,,18,0,,,,,
MATK,ENSG00000007264,3777969.0,3802129.0,19,(-),megakaryocyte-associated tyrosine kinase,X,,18,0,,,,,
SEPTIN7,ENSG00000122545,35800932.0,35907110.0,7,(+),septin 7,X,,18,0,,,,,
ADGRE5,ENSG00000123146,14380501.0,14408729.0,19,(+),adhesion G protein-coupled receptor E5,X,,18,0,,,,,
ATP6V0E1,ENSG00000113732,172983755.0,173037672.0,5,(+),ATPase H+ transporting V0 subunit e1,X,,18,0,,,,,
ATP6AP1,ENSG00000071553,154428618.0,154436517.0,X,(+),ATPase H+ transporting accessory protein 1,X,,18,0,,,,,
HLA-DMA,ENSG00000204257,32948613.0,32969094.0,6,(-),"major histocompatibility complex, class II, DM alpha",X,,18,0,,,,,
TOX,ENSG00000198846,58805412.0,59119310.0,8,(-),thymocyte selection associated high mobility group box,X,,18,0,,,,,
PFN1,ENSG00000108518,4945652.0,4950517.0,17,(-),profilin 1,X,,18,0,,,,,
LCP1,ENSG00000136167,46125920.0,46211871.0,13,(-),lymphocyte cytosolic protein 1,X,,18,0,,,,,
